Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Status,Image Src,Image Position,Image Alt Text,Metafield: everword.personalisation_kind [single_line_text_field],Metafield: everword.personalisation_label [single_line_text_field],Metafield: everword.personalisation_max [number_integer],Metafield: everword.message_card [boolean],Metafield: everword.occasions [single_line_text_field],Metafield: everword.elevator [single_line_text_field],Metafield: everword.tile_meta [single_line_text_field],Metafield: everword.specs [list.single_line_text_field],Metafield: everword.care [list.single_line_text_field]
love-knot-rose-box,,,,,,,Finish,14K White Gold Finish,Presentation,Mahogany-Style Luxe Box,,,love-knot-rose-box-02,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
love-knot-rose-box,,,,,,,Finish,14K White Gold Finish,Presentation,Rose box,,,love-knot-rose-box-03,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
love-knot-rose-box,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Signature Everword Box,,,love-knot-rose-box-04,60,,,continue,manual,89.00,TRUE,TRUE,g,,,,,,,,,,,,,
love-knot-rose-box,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Mahogany-Style Luxe Box,,,love-knot-rose-box-05,60,,,continue,manual,109.00,TRUE,TRUE,g,,,,,,,,,,,,,
love-knot-rose-box,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Rose box,,,love-knot-rose-box-06,60,,,continue,manual,109.00,TRUE,TRUE,g,,,,,,,,,,,,,
alluring-beauty-rose-box,Pav&eacute; Halo Pendant,"<p>A ribbon of pavé folding around one large round stone, so the setting reads as movement rather than a mount.</p>",Everword,Pendants,"Pendants, anniversary, romance",TRUE,Finish,14K White Gold Finish,Presentation,Signature Everword Box,,,alluring-beauty-rose-01,60,,,continue,manual,79.00,TRUE,TRUE,g,active,,,"Pave Halo Pendant, photographed on a clean studio ground",none,,,true,romance anniversary,The Halo,14K White Gold Finish or 18K Yellow Gold Finish,"[""14K white gold finish, or 18K yellow gold finish"", ""One large round cubic zirconia with a pavé-set ribbon"", ""Adjustable cable chain"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The gold is a finish. It is a plated layer over stainless steel, so skip abrasive polishes — they take the colour off rather than cleaning it."", ""The stones. Warm water and a soft brush behind the settings, then dry fully before it goes away. Cubic zirconia clouds with residue long before it ever scratches.""]"
alluring-beauty-rose-box,,,,,,,Finish,14K White Gold Finish,Presentation,Mahogany-Style Luxe Box,,,alluring-beauty-rose-02,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
alluring-beauty-rose-box,,,,,,,Finish,14K White Gold Finish,Presentation,Rose box,,,alluring-beauty-rose-03,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
alluring-beauty-rose-box,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Signature Everword Box,,,alluring-beauty-rose-04,60,,,continue,manual,89.00,TRUE,TRUE,g,,,,,,,,,,,,,
alluring-beauty-rose-box,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Mahogany-Style Luxe Box,,,alluring-beauty-rose-05,60,,,continue,manual,109.00,TRUE,TRUE,g,,,,,,,,,,,,,
alluring-beauty-rose-box,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Rose box,,,alluring-beauty-rose-06,60,,,continue,manual,109.00,TRUE,TRUE,g,,,,,,,,,,,,,
forever-love-rose-box,Open Heart Pendant,"<p>An open heart drawn in one unbroken line, with a single stone set at the turn.</p>",Everword,Pendants,"Pendants, anniversary, romance",TRUE,Presentation,Signature Everword Box,,,,,forever-love-rose-bo-01,60,,,continue,manual,79.00,TRUE,TRUE,g,active,,,"Open Heart Pendant, photographed on a clean studio ground",none,,,true,romance anniversary,The Open Heart,,"[""14K white gold finish"", ""One round cubic zirconia set at the curve"", ""Adjustable cable chain"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The stones. Warm water and a soft brush behind the settings, then dry fully before it goes away. Cubic zirconia clouds with residue long before it ever scratches.""]"
forever-love-rose-box,,,,,,,Presentation,Mahogany-Style Luxe Box,,,,,forever-love-rose-bo-02,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
forever-love-rose-box,,,,,,,Presentation,Rose box,,,,,forever-love-rose-bo-03,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
eternal-hope-halo,Halo Solitaire Pendant,"<p>One cushion-cut stone ringed by a halo of smaller ones, on a fine box chain. The plainest thing we sell, and the one that goes with everything.</p>",Everword,Keepsakes,"Keepsakes, anniversary, milestone",TRUE,Presentation,Signature Everword Box,,,,,eternal-hope-halo-01,60,,,continue,manual,79.00,TRUE,TRUE,g,active,,,"Halo Solitaire Pendant, photographed on a clean studio ground",none,,,true,milestone anniversary,The Solitaire,,"[""14K white gold finish"", ""8 mm cushion-cut cubic zirconia in a 1.2 mm halo"", ""Pendant 14 mm × 11.6 mm"", ""Fine box chain"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The stones. Warm water and a soft brush behind the settings, then dry fully before it goes away. Cubic zirconia clouds with residue long before it ever scratches.""]"
eternal-hope-halo,,,,,,,Presentation,Mahogany-Style Luxe Box,,,,,eternal-hope-halo-02,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
lucky-horseshoe,Dancing Stone Pendant,"<p>A single stone suspended between two fine points, touching neither. It catches the light as you move because nothing is holding it still.</p>",Everword,Keepsakes,"Keepsakes, everyday, milestone",TRUE,Presentation,Signature Everword Box,,,,,lucky-horseshoe-01,60,,,continue,manual,79.00,TRUE,TRUE,g,active,,,"Dancing Stone Pendant, photographed on a clean studio ground",none,,,true,everyday milestone,The Dancing Stone,,"[""White gold finish"", ""Pendant 19.5 mm × 16 mm"", ""Floating cubic zirconia centre stone"", ""Adjustable cable chain"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The stones. Warm water and a soft brush behind the settings, then dry fully before it goes away. Cubic zirconia clouds with residue long before it ever scratches.""]"
lucky-horseshoe,,,,,,,Presentation,Mahogany-Style Luxe Box,,,,,lucky-horseshoe-02,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
interlocking-hearts,Interlocking Hearts Pendant,"<p>Two hearts threaded through one another, one white and one rose. They cannot be separated without cutting them, which is a better metaphor than we intended.</p>",Everword,Keepsakes,"Keepsakes, anniversary, romance",TRUE,Finish,14K White Gold with Rose Gold,Presentation,Signature Everword Box,,,interlocking-hearts-01,60,,,continue,manual,79.00,TRUE,TRUE,g,active,,,"Interlocking Hearts Pendant, photographed on a clean studio ground",none,,,true,romance anniversary,The Interlocking Hearts,14K White Gold with Rose Gold or 18K Yellow Gold Finish,"[""14K white gold with rose gold, or 18K yellow gold finish"", ""Pendant 15 mm × 28 mm"", ""Cubic zirconia set along the edges"", ""Adjustable 18–22″ cable chain"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The gold is a finish. It is a plated layer over stainless steel, so skip abrasive polishes — they take the colour off rather than cleaning it."", ""The stones. Warm water and a soft brush behind the settings, then dry fully before it goes away. Cubic zirconia clouds with residue long before it ever scratches.""]"
interlocking-hearts,,,,,,,Finish,14K White Gold with Rose Gold,Presentation,Mahogany-Style Luxe Box,,,interlocking-hearts-02,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
interlocking-hearts,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Signature Everword Box,,,interlocking-hearts-03,60,,,continue,manual,89.00,TRUE,TRUE,g,,,,,,,,,,,,,
interlocking-hearts,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Mahogany-Style Luxe Box,,,interlocking-hearts-04,60,,,continue,manual,109.00,TRUE,TRUE,g,,,,,,,,,,,,,
love-knot-earrings-set,Love Knot Necklace &amp; Earring Set,"<p>A brilliant reflection of the bonds that tie us together. The love knot pendant with the two studs that match it — one box, one card, three pieces.</p>",Everword,Keepsakes,"Keepsakes, anniversary, romance",TRUE,Presentation,Signature Everword Box,,,,,love-knot-earrings-s-01,60,,,continue,manual,99.00,TRUE,TRUE,g,active,,,"Love Knot Necklace and Earring Set, photographed on a clean studio ground",none,,,true,romance anniversary,The Love Knot Set,,"[""14K white gold finish over durable stainless steel"", ""Centre stones: 6 mm round-cut cubic zirconia, one in the pendant and one in each stud"", ""Adjustable 18–22″ (45.7–55.9 cm) cable chain with a lobster clasp"", ""Earrings: matching knot design on secure posts"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The stones. Warm water and a soft brush behind the settings, then dry fully before it goes away. Cubic zirconia clouds with residue long before it ever scratches.""]"
love-knot-earrings-set,,,,,,,Presentation,Mahogany-Style Luxe Box,,,,,love-knot-earrings-s-02,60,,,continue,manual,119.00,TRUE,TRUE,g,,,,,,,,,,,,,
wood-watch,Wooden Watch,"<p>A sandalwood case on a black leather strap, light enough that you stop noticing it. The caseback is engraved with whatever you want him to read when he takes it off.</p>",Everword,For Him,"For Him, him",TRUE,Title,Default Title,,,,,wood-watch-01,60,,,continue,manual,119.00,TRUE,TRUE,g,active,,,"Wooden Watch, photographed on a clean studio ground",engrave,Message on the caseback,40,true,him,The Wood Chronograph,,"[""Sandalwood case, 45 mm"", ""Japanese quartz movement"", ""Genuine leather strap"", ""Engraved caseback — up to 40 characters"", ""Splash resistant only (IPX-4) — not for swimming or showering"", ""Arrives in a wooden presentation box"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""Wood is porous. Keep it out of prolonged sun and away from water entirely; wipe with a dry cloth only."", ""The movement. Have the battery changed by a jeweller rather than levering the case back yourself.""]"
chronograph-watch,Black Chronograph Watch,"<p>A 316L steel case over a copper dial, with three subdials. The dressiest of the three, and the one that reads best under a cuff.</p>",Everword,For Him,"For Him, him",TRUE,Title,Default Title,,,,,chronograph-watch-01,60,,,continue,manual,139.00,TRUE,TRUE,g,active,,,"Black Chronograph Watch, photographed on a clean studio ground",engrave,Message on the caseback,40,true,him,The Midnight Chronograph,,"[""316L stainless steel case, 38.1 mm face"", ""Copper dial, three subdials"", ""Quartz movement"", ""3 ATM water resistant"", ""Engraved caseback — up to 40 characters"", ""Arrives in a wooden presentation box"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The movement. Have the battery changed by a jeweller rather than levering the case back yourself.""]"
openwork-watch,Open-Work Automatic Watch,"<p>A skeleton dial with the movement left visible, and no battery in it — it winds itself from the motion of his wrist.</p>",Everword,For Him,"For Him, him",TRUE,Title,Default Title,,,,,openwork-watch-01,60,,,continue,manual,159.00,TRUE,TRUE,g,active,,,"Open-Work Automatic Watch, photographed on a clean studio ground",engrave,Message on the caseback,40,true,him,The Open-Work Automatic,,"[""Automatic movement — self-winding, no battery"", ""Open-work skeleton dial"", ""Genuine leather strap"", ""3 ATM water resistant"", ""Engraved caseback — up to 40 characters"", ""Arrives in a lit presentation box"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The movement. Have the battery changed by a jeweller rather than levering the case back yourself.""]"
baby-feet-birthstone,Baby Feet Pendant with Birthstone,"<p>A small engraved footprint for each child, with one stone for the month they arrived. One charm is included; add up to three more.</p>",Everword,A New Baby,"A New Baby, baby",TRUE,Finish,Polished Stainless Steel,Presentation,Signature Everword Box,Charms,1,baby-feet-birthstone-01,60,,,continue,manual,69.00,TRUE,TRUE,g,active,,,"Baby Feet Pendant with Birthstone, photographed on a clean studio ground",names,"Names, one per line",10,true,baby,The First Footprint,Polished Stainless Steel or 18K Yellow Gold Finish,"[""Polished stainless steel, or finished in 18K yellow gold"", ""Charm 20.57 mm × 12.45 mm"", ""Engraved to order — up to 10 characters per charm"", ""Up to four charms, each with a birthstone"", ""Cubic zirconia birthstone in your choice of twelve colours"", ""Fine box chain"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The gold is a finish. It is a plated layer over stainless steel, so skip abrasive polishes — they take the colour off rather than cleaning it."", ""The stones. Warm water and a soft brush behind the settings, then dry fully before it goes away. Cubic zirconia clouds with residue long before it ever scratches.""]"
baby-feet-birthstone,,,,,,,Finish,Polished Stainless Steel,Presentation,Signature Everword Box,Charms,2,baby-feet-birthstone-02,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
baby-feet-birthstone,,,,,,,Finish,Polished Stainless Steel,Presentation,Signature Everword Box,Charms,3,baby-feet-birthstone-03,60,,,continue,manual,89.00,TRUE,TRUE,g,,,,,,,,,,,,,
baby-feet-birthstone,,,,,,,Finish,Polished Stainless Steel,Presentation,Signature Everword Box,Charms,4,baby-feet-birthstone-04,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
baby-feet-birthstone,,,,,,,Finish,Polished Stainless Steel,Presentation,Mahogany-Style Luxe Box,Charms,1,baby-feet-birthstone-05,60,,,continue,manual,89.00,TRUE,TRUE,g,,,,,,,,,,,,,
baby-feet-birthstone,,,,,,,Finish,Polished Stainless Steel,Presentation,Mahogany-Style Luxe Box,Charms,2,baby-feet-birthstone-06,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
baby-feet-birthstone,,,,,,,Finish,Polished Stainless Steel,Presentation,Mahogany-Style Luxe Box,Charms,3,baby-feet-birthstone-07,60,,,continue,manual,109.00,TRUE,TRUE,g,,,,,,,,,,,,,
baby-feet-birthstone,,,,,,,Finish,Polished Stainless Steel,Presentation,Mahogany-Style Luxe Box,Charms,4,baby-feet-birthstone-08,60,,,continue,manual,119.00,TRUE,TRUE,g,,,,,,,,,,,,,
baby-feet-birthstone,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Signature Everword Box,Charms,1,baby-feet-birthstone-09,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
baby-feet-birthstone,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Signature Everword Box,Charms,2,baby-feet-birthstone-10,60,,,continue,manual,89.00,TRUE,TRUE,g,,,,,,,,,,,,,
baby-feet-birthstone,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Signature Everword Box,Charms,3,baby-feet-birthstone-11,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
baby-feet-birthstone,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Signature Everword Box,Charms,4,baby-feet-birthstone-12,60,,,continue,manual,109.00,TRUE,TRUE,g,,,,,,,,,,,,,
baby-feet-birthstone,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Mahogany-Style Luxe Box,Charms,1,baby-feet-birthstone-13,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
baby-feet-birthstone,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Mahogany-Style Luxe Box,Charms,2,baby-feet-birthstone-14,60,,,continue,manual,109.00,TRUE,TRUE,g,,,,,,,,,,,,,
baby-feet-birthstone,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Mahogany-Style Luxe Box,Charms,3,baby-feet-birthstone-15,60,,,continue,manual,119.00,TRUE,TRUE,g,,,,,,,,,,,,,
baby-feet-birthstone,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Mahogany-Style Luxe Box,Charms,4,baby-feet-birthstone-16,60,,,continue,manual,129.00,TRUE,TRUE,g,,,,,,,,,,,,,
baby-feet-heart,Baby Feet Heart Pendant,"<p>Rose-gold baby feet held at the centre of a crystal-edged heart. Sold ready to give, in the lit box.</p>",Everword,A New Baby,"A New Baby, baby",TRUE,Title,Default Title,,,,,baby-feet-heart-01,60,,,continue,manual,79.00,TRUE,TRUE,g,active,,,"Baby Feet Heart Pendant, photographed on a clean studio ground",none,,,true,baby,"The First Footprint, Heart",,"[""Rose gold feet on a white gold finish heart"", ""Cubic zirconia set around the heart outline"", ""Adjustable cable chain"", ""Arrives in a lit presentation box"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn.""]"
engraved-cuff,Engravable Cuff Bracelet,"<p>An open cuff with a flat face, engraved on the inside so the words sit against the wrist and nobody else reads them. Slips on sideways and holds its shape.</p>",Everword,Bracelets,"Bracelets, anniversary, everyday, him, milestone",TRUE,Finish,Polished Stainless Steel,,,,,engraved-cuff-01,60,,,continue,manual,79.00,TRUE,TRUE,g,active,,,"Engravable Cuff Bracelet in 18K yellow gold finish, worn, showing its true size",engrave,Engraving,30,true,anniversary milestone everyday him,The Cuff,Polished Stainless Steel or 18K Yellow Gold Finish,"[""Polished stainless steel, or finished in 18K yellow gold"", ""Open cuff, one size — adjusts by gentle bending"", ""Engraved to order — up to 30 characters, inside or outside"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The gold is a finish. It is a plated layer over stainless steel, so skip abrasive polishes — they take the colour off rather than cleaning it.""]"
engraved-cuff,,,,,,,Finish,18K Yellow Gold Finish,,,,,engraved-cuff-02,60,,,continue,manual,89.00,TRUE,TRUE,g,,,,,,,,,,,,,
womens-ring,Women&rsquo;s Engraved Ring,"<p>A slim band with a flat face, engraved with a date, a name or a line only one person will understand. Comfort-fit, so it turns without catching.</p>",Everword,Rings,"Rings, anniversary, milestone, romance",TRUE,Finish,Polished Stainless Steel,Ring size,5,,,womens-ring-01,60,,,continue,manual,69.00,TRUE,TRUE,g,active,,,"Women's Engraved Ring in 18K yellow gold finish, photographed on a clean studio ground",engrave,Engraving,30,true,romance anniversary milestone,The Band,Polished Stainless Steel or 18K Yellow Gold Finish,"[""Polished stainless steel, or finished in 18K yellow gold"", ""Comfort-fit band, 4 mm wide"", ""Engraved to order — up to 30 characters"", ""Whole sizes 5 to 10"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The gold is a finish. It is a plated layer over stainless steel, so skip abrasive polishes — they take the colour off rather than cleaning it.""]"
womens-ring,,,,,,,Finish,Polished Stainless Steel,Ring size,6,,,womens-ring-02,60,,,continue,manual,69.00,TRUE,TRUE,g,,,,,,,,,,,,,
womens-ring,,,,,,,Finish,Polished Stainless Steel,Ring size,7,,,womens-ring-03,60,,,continue,manual,69.00,TRUE,TRUE,g,,,,,,,,,,,,,
womens-ring,,,,,,,Finish,Polished Stainless Steel,Ring size,8,,,womens-ring-04,60,,,continue,manual,69.00,TRUE,TRUE,g,,,,,,,,,,,,,
womens-ring,,,,,,,Finish,Polished Stainless Steel,Ring size,9,,,womens-ring-05,60,,,continue,manual,69.00,TRUE,TRUE,g,,,,,,,,,,,,,
womens-ring,,,,,,,Finish,Polished Stainless Steel,Ring size,10,,,womens-ring-06,60,,,continue,manual,69.00,TRUE,TRUE,g,,,,,,,,,,,,,
womens-ring,,,,,,,Finish,18K Yellow Gold Finish,Ring size,5,,,womens-ring-07,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
womens-ring,,,,,,,Finish,18K Yellow Gold Finish,Ring size,6,,,womens-ring-08,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
womens-ring,,,,,,,Finish,18K Yellow Gold Finish,Ring size,7,,,womens-ring-09,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
womens-ring,,,,,,,Finish,18K Yellow Gold Finish,Ring size,8,,,womens-ring-10,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
womens-ring,,,,,,,Finish,18K Yellow Gold Finish,Ring size,9,,,womens-ring-11,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
womens-ring,,,,,,,Finish,18K Yellow Gold Finish,Ring size,10,,,womens-ring-12,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
mens-ring,Men&rsquo;s Engraved Ring,"<p>A wider band in steel, gold finish or black, engraved on the outside face. Heavy enough to notice and plain enough to wear to anything.</p>",Everword,Rings,"Rings, anniversary, him, milestone",TRUE,Finish,Polished Stainless Steel,Ring size,8,,,mens-ring-01,60,,,continue,manual,69.00,TRUE,TRUE,g,active,,,"Men's Engraved Ring in black, photographed on a clean studio ground",engrave,Engraving,30,true,him anniversary milestone,The Wide Band,Polished Stainless Steel or 18K Yellow Gold Finish or Black IP-Plated Steel,"[""Polished stainless steel, 18K yellow gold finish, or black IP-plated"", ""Comfort-fit band, 8 mm wide"", ""Engraved to order — up to 30 characters"", ""Whole sizes 8 to 13"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The gold is a finish. It is a plated layer over stainless steel, so skip abrasive polishes — they take the colour off rather than cleaning it.""]"
mens-ring,,,,,,,Finish,Polished Stainless Steel,Ring size,9,,,mens-ring-02,60,,,continue,manual,69.00,TRUE,TRUE,g,,,,,,,,,,,,,
mens-ring,,,,,,,Finish,Polished Stainless Steel,Ring size,10,,,mens-ring-03,60,,,continue,manual,69.00,TRUE,TRUE,g,,,,,,,,,,,,,
mens-ring,,,,,,,Finish,Polished Stainless Steel,Ring size,11,,,mens-ring-04,60,,,continue,manual,69.00,TRUE,TRUE,g,,,,,,,,,,,,,
mens-ring,,,,,,,Finish,Polished Stainless Steel,Ring size,12,,,mens-ring-05,60,,,continue,manual,69.00,TRUE,TRUE,g,,,,,,,,,,,,,
mens-ring,,,,,,,Finish,Polished Stainless Steel,Ring size,13,,,mens-ring-06,60,,,continue,manual,69.00,TRUE,TRUE,g,,,,,,,,,,,,,
mens-ring,,,,,,,Finish,18K Yellow Gold Finish,Ring size,8,,,mens-ring-07,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
mens-ring,,,,,,,Finish,18K Yellow Gold Finish,Ring size,9,,,mens-ring-08,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
mens-ring,,,,,,,Finish,18K Yellow Gold Finish,Ring size,10,,,mens-ring-09,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
mens-ring,,,,,,,Finish,18K Yellow Gold Finish,Ring size,11,,,mens-ring-10,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
mens-ring,,,,,,,Finish,18K Yellow Gold Finish,Ring size,12,,,mens-ring-11,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
mens-ring,,,,,,,Finish,18K Yellow Gold Finish,Ring size,13,,,mens-ring-12,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
mens-ring,,,,,,,Finish,Black IP-Plated Steel,Ring size,8,,,mens-ring-13,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
mens-ring,,,,,,,Finish,Black IP-Plated Steel,Ring size,9,,,mens-ring-14,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
mens-ring,,,,,,,Finish,Black IP-Plated Steel,Ring size,10,,,mens-ring-15,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
mens-ring,,,,,,,Finish,Black IP-Plated Steel,Ring size,11,,,mens-ring-16,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
mens-ring,,,,,,,Finish,Black IP-Plated Steel,Ring size,12,,,mens-ring-17,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
mens-ring,,,,,,,Finish,Black IP-Plated Steel,Ring size,13,,,mens-ring-18,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
magnetic-hearts,Magnetic Two-Heart Pendant,"<p>Closed, it reads as a four-leaf clover. Held, it separates into two halves that each hold their own heart — one to keep and one to give.</p>",Everword,Keepsakes,"Keepsakes, everyday, romance",TRUE,Presentation,Signature Everword Box,,,,,magnetic-hearts-01,60,,,continue,manual,79.00,TRUE,TRUE,g,active,,,"Magnetic Two-Heart Pendant in polished stainless steel, in its gift box",none,,,true,romance everyday,The Two Hearts,,"[""White gold finish"", ""Pavé-set cubic zirconia"", ""Separates into two heart halves, held closed by magnets"", ""Adjustable cable chain"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The stones. Warm water and a soft brush behind the settings, then dry fully before it goes away. Cubic zirconia clouds with residue long before it ever scratches.""]"
magnetic-hearts,,,,,,,Presentation,Mahogany-Style Luxe Box,,,,,magnetic-hearts-02,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
